Lahore Marathon
42KM MALE
RANK	BIB	NAME	TEAM	LAP	TIME FINISHED	DURATION
-	2363	Muhammad Waqas	PUNJAB ATHLETIC ACADEMY	0	-	-
-	2267	Mujahid	LAHORE RUNNERS	0	-	-
-	2244	Mujtaba Ahsan	MUJTABA AHSAN	0	-	-
-	2372	Mujtaba Khan		0	-	-
-	2231	Musa Khan	ISLAMABAD RUNNING CLUB	0	-	-
-	2226	Mushtaq Bhatti	ISLAMABAD RUNNING CLUB	0	-	-
-	2320	Mustafa	ISLAMABAD RUNNING CLUB	0	-	-
-	2218	Muzammil Shahzad	ISLAMABAD RUNNING CLUB	0	-	-
-	2298	Nadeem	LOCAL	0	-	-
-	2293	Naeem Umer	ISLAMABAD HIKING CLUB	0	-	-
-	2222	Nauman Siddique	ISLAMABAD RUNNING CLUB	0	-	-
-	2225	Naveed Hasan	ISLAMABAD RUNNING CLUB	0	-	-
-	2286	Nazim Hussain	RCR	0	-	-
-	2230	Noman Chaudhary	ISLAMABAD RUNNING CLUB	0	-	-
-	2252	Nousherwa Ashiq	KJFC	0	-	-
-	2173	Omer Irfan Rashid	ISLAMABAD RUNNING CLUB	0	-	-
-	2192	Osama Haashir	ISLAMABAD RUN WITH US	0	-	-
-	2299	Osman		0	-	-
-	2355	Qasim Gondal	PUNJAB ATHLETIC ACADEMY	0	-	-
-	2285	Raheel Javaid	RCR	0	-	-
-	2118	Rai Muhammad Ibrahim		0	-	-
-	2183	Rai Sarfraz	CONVERTED TO 5 K	0	-	-
-	2328	Ramooz Tahir		0	-	-
-	2115	Rana Hassan Javaid	-	0	-	-
-	2380	Rehman Azhar		0	-	-
-	2284	Returned		0	-	-
-	2151	Robass Zia		0	-	-
-	2297	Saad		0	-	-
-	2140	Saad Hammad		0	-	-
-	2169	Saad Mohamed	GULBERG CYCLING CLUB	0	-	-
-	2341	Saad Naveed	IRON GEAR	0	-	-
-	2235	Saad Sattar Khan	ISLAMABAD RUNNING CLUB	0	-	-
-	2240	Saad Sikandar	ISLAMABAD RUNNING CLUB	0	-	-
-	2172	Saad Sultan	ISLAMABAD RUN WITH US (IRU)	0	-	-
-	2335	Sadat Ali	WAYFARERS ADVENTURE ASSOCIATION	0	-	-
-	2414	Safian Ijaz	PUNJAB ATHLETIC ACADEMY	0	-	-
-	2361	Sajid Ali Sarfraz	PUNJAB ATHLETIC ACADEMY	0	-	-
-	2401	Sajjad Hussain	ISLAMABAD RUNNING CLUB	0	-	-
-	2181	Salahuddin Shirazi		0	-	-
-	2167	Saleem Abid		0	-	-
-	2377	Salman Ayub		0	-	-
-	2312	Salman Zafar	IRON GEAR	0	-	-
-	2270	Sameer Malik	LAHORE RUNNERS	0	-	-
-	2143	Saood Hamid	LAHORE RUNNERS 	0	-	-
-	2186	Saqib Munir	KARACHI STRIDERS 	0	-	-
-	2121	Sardar Tariq Ahmad	#804	0	-	-
-	2132	Sardar Tariq Ahmad	#804	0	-	-
-	2245	Sarfraz Khalid Jatt	KJFC	0	-	-
-	2190	Shaheer Khalid		0	-	-
-	2381	Shahid Shah		0	-	-
-	2214	Shahid Sultan	ISLAMABAD RUNNING CLUB	0	-	-
-	2162	Sharoon Saleem		0	-	-
-	2232	Shayan Murtaza	ISLAMABAD RUNNING CLUB	0	-	-
-	2262	Sheeraz Kamboh	LAHORE RUNNERS	0	-	-
-	2288	Shehroze Jamil	RCR	0	-	-
-	2156	Shoaib	LAHORE RUNNERS	0	-	-
-	2411	Shoaib Nizami		0	-	-
-	2378	Shoaib Saleem	LAHORE RUNNERS	0	-	-
-	2228	Sikadar Hussain Shah	ISLAMABAD RUNNING CLUB	0	-	-
-	2260	Soban Ijaz	LAHORE RUNNERS	0	-	-
-	2313	Sohaib Arshad	TEAM IRON RUN CLUB (TIRC)	0	-	-
-	2301	Sohaib Aslam		0	-	-
-	2274	Sohaib Farooq	LAHORE RUNNERS	0	-	-
-	2273	Sohail Mughal	LAHORE RUNNERS	0	-	-
-	2124	Sohail Sadiq	KCA	0	-	-
